7-Eleven	7 eleven
Grab	gờ ráp
grbic	gờ rờ bích
hroi	h rôi
haba	ha ba
habana	ha ba na
halbesma	ha be ma
habibi	ha bi bi
habibollah	ha bi bô la
habitat	ha bi tát
harbor	ha bo
habuka	ha bu ca
habits	ha bít
habeck	ha bếch
hakan	ha can
hachibu	ha chi bu
halcom	ha com
hakuhodo	ha cu hô đô
harker	ha cơ
hagerty	ha ghơ ti
hargate	ha ghết
haji	ha gi
hagwon	ha goan
hargrove	ha grô
hakimi	ha ki mi
hakim	ha kim
hala	ha la
hallakoun	ha la cun
hallahan	ha la han
halah	ha lah
halal	ha lan
halima	ha li ma
halyna	ha li na
halirou	ha li ru
hallyu	ha li u
haliaeetus	ha li ê tút
halong	ha long
hallet	ha lét
halevy	ha lê vi
halogen	ha lô gien
halomonas	ha lô mô nát
hallowe	ha lô u in
halloween	ha lô uyn
haller	ha lơ
haaland	ha lần
haalandghi	ha lần ghi
halleck	ha lếch
hamaguchi	ha ma gu chi
halmahera	ha ma hê ra
harmanator	ha ma na tơ
hamada	ha ma đa
hamadou	ha ma đu
hamidreza	ha mít rê za
harmony	ha mô ni
harman	ha mần
hana	ha na
hanatour	ha na tua
hanni	ha ni
hannibal	ha ni bần
henikeno	ha ni ken
honeywood	ha ni uút
haneda	ha nê đa
hynix	ha ních
hanover	ha nô vơ
hanoia	ha nôi a
hawa	ha oa
hawaiki	ha oai ki
hawonkoo	ha oan cu
hafele	ha phê lê
hafeet	ha phít
halpin	ha pin
hapro	ha prô
haramain	ha ra main
harari	ha ra ri
harare	ha ra rê
haryana	ha ri a na
harika	ha ri ca
harifi	ha ri phi
harita	ha ri ta
harrison	ha ri xơn
haruki	ha ru ki
harrow	ha râu
haaretz	ha rét
harris	ha rít
harold	ha rần
harrods	ha rốt
hashimi	ha si mi
hataoka	ha ta ô ca
hatamleh	ha tam lê
hathaway	ha tha uây
hateco	ha tê cô
hatoyama	ha tô ya ma
hausbelo	ha u be lô
hajun	ha un
havana	ha va na
javier	ha vi ê
having	ha vinh
havenith	ha vê nít
harvest	ha vít
havre	ha vơ
havertz	ha vớt
have	ha vờ
hasina	ha xi na
hayashi	ha ya xi
hayase	ha ya xê
hayao	ha ya ô
hadzabe	ha za bê
hazinda	ha zin đa
hazard	ha zát
haaskivi	ha át ki vi
hardy	ha đi
hadrien	ha đri ên
hadeco	ha đê cô
hadid	ha đít
harden	ha đần
hadalpelagic	ha đần pê la gi cần
hades	ha đết
hadramout	ha đờ ra mút
hyaluronate	hai a lu rô nét
hyaluronic	hai a lu rô ních
hyannis	hai an nít
highbury	hai bơ ri
haichao	hai chao
hycross	hai crốt
highgate	hai gết
highlight	hai lai
highlander	hai lan đơ
highlands	hai len
hailian	hai liên
high-low	hai lô
hilux	hai lúc
Highlands Coffee	hai lừn cà phê
Highlands Coffee	hai lừn có phi
jaime	hai mê
heilman	hai mần
hainanese	hai nan
heineken	hai nê ken
heinecke	hai nê kê
haipeng	hai phanh
highfill	hai phiêu
hyper	hai pơ
hyperion	hai pơ ri on
hyryder	hai rai đơ
hiring	hai ring
heithaus	hai thaus
haiti	hai ti
haiyan	hai yan
haidai	hai đai
heidelberg	hai đen bớc
haidilao	hai đi lao
hydra	hai đra
hydrat	hai đrát
hydro	hai đrô
hydrochaeris	hai đrô chê rít
hydrochoerus	hai đrô chê rút
hydrocarbon	hai đrô các bon
hydrocoloid	hai đrô cô lôi
hydroquinone	hai đrô qui nôn
hydrovolt	hai đrô vôn
hydroxit	hai đrô xít
hydroides	hai đrôi đê
hydroxy	hai đrốc xi
higher	hai ơ
heinrich	hain rích
heinze	hain zờ
hypebeast	haip bít
hambling	ham bling
hamburg	ham buốc
hamgyong	ham ghi ông
hamsili	ham xi li
hamster	ham xtơ
hamdallah	ham đa la
hanbok	han bốc
handcam	han cam
hancorp	han cóp
hankook	han cúc
hanley	han li
hanne	han ne
hannan	han nần
hanford	han phốt
hanfhd	han phờ đờ
hantavirus	han ta vai rút
handwerker	han véc cơ
hansen	han xen
halsey	han xi
halcyon	han xi ần
hansgrohe	han xrô hơ
hanson	han xơn
handanovic	han đa nô vích
handiresco	han đi rét cô
handong	han đông
handerson	han đơ xơn
hangar	hang ga
hang-seo	hang xê ô
household	hao hôn
haokip	hao kíp
howell	hao oần
howey	hao uy
housework	hao uốc
howard	hao vợt
houseless	hao xê lét
houze	hao zơ
housinco	hau xin cô
haustein	hau xtain
housing	hau zing
hauser	hau zơ
Herio Green	he ri ô grin
herringbone	he ring bôn
hairstyles	he xtai
helmholtz	hem hốn zơ
hemmings	hem minh
hemsworth	hem uo thờ
helmond	hen môn
hennadii	hen na đi
henning	hen ning
helfer	hen phơ
henrique	hen ri kê
henrietta	hen ri ét ta
henrymong	hen ry mông
henrikson	hen rích xơn
hentai	hen tai
henthorn	hen thon
helveticosaurus	hen vê ti cô xô rút
helsinki	hen xin ki
hendrio	hen đri ô
hendrix	hen đrích
hendrickson	hen đrích xơn
henderson	hen đơ xơn
Herio Green	herio green
hibana	hi ba na
hiban	hi ban
hebrew	hi bru
hibernicarum	hi bơ ni ca rum
hikaru	hi ca ru
hicham	hi cham
hye-jin	hi chin
higashimura	hi ga xi mu ra
higaiji	hi gai gi
hijab	hi giáp
hikikomori	hi ki cô mô ri
healy	hi li
healing	hi ling
hilevych	hi lê vích
hilal	hi lần
himachal	hi ma chần
himalaya	hi ma la ya
jimenez	hi mê nét
himangshu	hi măng su
heaney	hi ni
hinoki	hi nô ki
hinode	hi nô đê
heon	hi on
hilpron	hi pờ rôn
hiratani	hi ra ta ni
hirayama	hi ra ya ma
hee-ryong	hi ri ông
hirun	hi run
hirokazu	hi rô ca zu
hiroko	hi rô cô
hiroki	hi rô ki
hiroshi	hi rô xi
hiroshima	hi rô xi ma
hirosue	hi rô xu ê
hiroyuki	hi rô yu ki
hishaw	hi sô
hitachi	hi ta chi
hitoshi	hi tô xi
heaton	hi tần
hiya	hi ya
hierapolis	hi ê ra pô lít
hyong-jun	hi ông giun
hidalgo	hi đan gô
hidro	hi đrô
hideki	hi đê ki
hidetoshi	hi đê tô xi
hideo	hi đê ô
hear	hi ơ
Highlands Coffee	highlands coffee
hildenbrand	hil đen bran
hindley	hin li
hindlian	hin li ần
hiller	hin lơ
hindmarsh	hin mác
hinman	hin mần
hilfiger	hin phi gơ
hillstale	hin xtê
hildah	hin đa
hindenburg	hin đen buốc
hindi	hin đi
hindu	hin đu
hindustan	hin đu xtan
hugill	hiu ghiu
huge	hiu giơ
humanity	hiu ma ni ti
human	hiu mần
hulme	hiu mờ
huron	hiu rần
hewitt	hiu uýt
houston	hiu xtơn
houstan	hiu xtần
hieuthuhai	hiếu thứ hai
xianguang	hiển quang
xiaolin	hiểu lâm
xiaotong	hiểu đồng
hormuz	ho mút
hornet	ho nét
hoorne	ho nê
horner	ho nơ
horwang	ho oang
horticulture	ho ti căn chờ
huaxian	hoa huyện
hualin	hoa lâm
hoaqua	hoa quả
hoasinh	hoa sinh
huatai	hoa thái
huashang	hoa thương
hwasa	hoa xa
hwaseong	hoa xong
huayin	hoa âm
huating	hoa đình
huanchaquito	hoan cha qui tô
juanma	hoan ma
hwangjisa	hoang gi xa
honey	hon ni
huanqiu	hoàn cầu
horsey	hoóc xi
juan	hu an
huber	hu bơ
hugo	hu gô
houlihan	hu li hần
humayun	hu ma yun
humeniuk	hu mê ni úc
huoai	hu oai
houwaidi	hu oai đi
huracan	hu ra can
houthi	hu thi
hutech	hu tếch
hoover	hu vơ
husavik	hu xa vích
husseini	hu xen ni
huat	hu át
huda	hu đa
hoodie	hu đi
hualong	hua long
huamei	hua mây
huamoa	hua mô a
huawei	hua uê
huaixing	huai xing
huitema	hui tê ma
humboldt	hum bôn
hummels	hum mên
hulkenberg	hun ken bớc
hunnebostrand	hun nê bô xtrăn
hungary	hung ga ri
hungarian	hung ga ri ần
huycho	huy cho
huihong	huy hồng
huizinga	huy zin ga
huyndai	huyn đai
huitfeldt	huyt phen
hueroa	huê rô a
hye-ran	huệ lan
huynhchi	huỳnh chi
huynhcho	huỳnh cho
hydrogen	hy drô
ximiao	hy miêu
hyuga	hy u ga
hyogo	hy ô gô
hyosung	hy ô xung
hyundai	hyun đai
henan	hà nam
handling	hàn linh
handler	hàn đơ lơ
hardees	há đi
harmala	hác ma la
harmaline	hác ma lin
harmine	hác min
harding	hác đinh
harder	hác đơ
habsburg	háp buốc
half-marathon	háp ma ra tông
happy	háp pi
happened	háp pần
heartbreaker	hát brê cơ
heartbeat	hát bít
hatchback	hát bắc
hartmut	hát mút
hartman	hát mần
hertfordshire	hát pho sai
hashrate	hát rết
hard-rock	hát rốc
hastings	hát tinh
hat-trick	hát trích
hartono	hát tô nô
hartlepool	hát tơ li pun
hatton	hát tần
hardware	hát ue
hassabis	hát xa bít
hassan	hát xan
hartstein	hát xtain
hassoumi	hát xu mi
hokemeyer	hâu kê may ơ
houlton	hâu tần
wholesome	hâu xầm
hayslett	hây lét
heyman	hây mần
hayward	hây oạt
handley	hèn li
hand-made	hèn mết
herlinda	héc lin đa
hecta	héc ta
hector	héc tơ
herzog	héc zốc
hezbollah	hét bô la
hesburgh	hét bớc
headhunt	hét hăn
headhunter	hét hăn tơ
headlinecho	hét lain cho
headliner	hét lain nơ
headlightmag	hét lait mắc
headphone	hét phôn
headrick	hét rích
hesse	hét xê
hedda	hét đa
heberbiovac	hê bê bi ô vắc
hbvax	hê bê vắc
hejazi	hê gia zi
hague	hê gu
heino	hê i nô
hyein	hê in
hye-jung	hê jung
helaba	hê la ba
heli	hê li
helicobacter	hê li cô bắc tơ
helineon	hê li nê ôn
helios	hê li ốt
helena	hê lê na
helix	hê lích
hello	hê lô
helen	hê lần
hemiphyllodactylus	hê mi phi lô đắc ti lút
hemoglobin	hê mô glô bin
heina	hê na
hernandez	hê nan đét
hera	hê ra
herrensteig	hê ren xtai
hairy	hê ri
haerin	hê rin
herigstad	hê rích xtát
heroin	hê rô in
hetrick	hê trích
heavy	hê vi
hevelyn	hê vê lin
heavenly	hê vần li
hazy	hê zi
haze	hê zờ
heong	hê ông
hede	hê đê
hedonic	hê đô ních
heldman	hêu mần
heuvel	hêu vần
higgins	hích ghin
hickey	hích ki
hikvision	hích vi zhần
hipkins	híp kin
hippie	híp pi
hippopotamus	híp pô pô ta mút
heatmap	hít máp
hispidus	hít pi đút
histamine	hít ta min
heathrow	hít th rô
histioteuthis	hít ti ô ti u thít
historiarum	hít tô ri a rum
historics	hít tô rích
history	hít tơ ri
hidden	hít đần
heping	hòa bình
hawker	hóc cơ
hocmai	hóc mai
hopper	hóp pơ
hotboy	hót boy
hotline	hót lain
hotpot	hót pót
hoara	hô a ra
hobeika	hô bê ca
hoboken	hô bô ken
hoburg	hô bớc
hochul	hô chun
hokuto	hô cu tô
hoglund	hô glần
hola	hô la
hollywood	hô li uýt
hollywoodlife	hô li uýt lai
hollywoodx	hô li uýt ếch
holiday	hô li đây
hollingshead	hô lin hết
holistic	hô lít tích
hollister	hô lít tơ
holo	hô lô
hologram	hô lô gram
holosiivskyi	hô lô xi íp xcơ
holocene	hô lô xin
homo	hô mô
honorah	hô nô ra
hori	hô ri
horizontal	hô ri zôn tần
jorges	hô rơ hê
horan	hô rần
hosseini	hô xê ni
hosono	hô xô nô
hoag	hô ắc
hoechang	hôi chang
hojlund	hôi lun
hojlung	hôi lung
hoylake	hôi lếch
hoeness	hôi nết
hoisin	hôi xin
hooydonck	hôi đông
homeclub	hôm clắp
homegood	hôm gút
homeless	hôm lét
homemade	hôm mết
homestretch	hôm xtrét
homestead	hôm xtết
holbach	hôn bắc
holger	hôn gơ
hole-in-one	hôn in oăn
holman	hôn mần
honshu	hôn xu
honda	hôn đa
hondula	hôn đu la
honduras	hôn đu rát
hungchia	hùng chia
xuguang	húc quang
hutchison	hút chi xơn
hutton	hút tần
hutshown	hút xô oen
hamburger	hăm bu gơ
humpback	hăm bắc
hamlet	hăm lết
hummer	hăm mơ
hammerstein	hăm mơ xtain
hampshire	hăm sai
hamdi	hăm đi
hanbury	hăn bơ ri
huntington	hăn tinh tần
hunter	hăn tơ
herbalife	hơ ba lai
herbille	hơ bi yê
herbert	hơ bớt
herlison	hơ li xơn
hermaphroditus	hơ ma phờ rô đi tút
hermanson	hơ man xơn
hermoso	hơ mô xô
hermann	hơ mần
hernando	hơ nan đô
hefang	hơ phang
herpes	hơ pét
herpeticum	hơ pê ti cum
herpetology	hơ pê tô lô gi
herpen	hơ pần
hurricane	hơ ri kên
herrera	hơ rê ra
herrero	hơ rê rô
hervey	hơ vây
hirson	hơ xơn
herder	hơ đơ
huayou	hư yu
xinghua	hưng hoa
heung-min	hưng min
xiangrong	hướng vinh
haiyang	hải dương
haifeng	hải phong
haisau	hải sau
haitdthchia	hải t đ t hờ chia
hackathon	hắc ca thôn
hacker	hắc cơ
hackernews	hắc cơ niu
hackl	hắc cờ
hakkai	hắc khai
hackett	hắc kết
hackney	hắc ni
hagtrao	hắc trao
husky	hắc xki
hackspirit	hắc xpi rít
hagstr	hắc xtrơ
hubbard	hắp bát
huffington	hắp phinh tần
huffpost	hắp pốt
husband	hắt bần
hashtag	hắt tắc
hudson	hắt xơn
hexa	hếch xa
healthline	hết lain
hesperidin	hết pê ri đin
headers	hết đơ
healthcare	hếu ke
healthy	hếu thi
health-tech	hếu tếch
hokkaido	hốc cai đô
hocking	hốc king
hofburg	hốp buốc
hopkins	hốp kin
hodgkin	hốt kin
hospitality	hốt pi ta li ti
hospet	hốt pét
hotspur	hốt xờ pơ
hunan	hồ nam
hongbo	hồng ba
hongjian	hồng di an
hongkong	hồng kông
hongyok	hồng ngọc
hongfan	hồng phần
hongxing	hồng tinh
hongdae	hồng đại
hertling	hớt ling
hurtigruten	hớt ti grút tần
hmong	hờ mông
xuxin	hứa hân
xuyuan	hứa nguyên
xiqiang	hỷ cường
ian	i an
ibrahimovic	i bra hi mô vích
ibrahim	i bra him
ibroh	i brô
ibuprofen	i bu prô phen
iberico	i bê ri cô
ibis	i bít
ibo	i bô
ica	i ca
icaza	i ca za
e-class	i clát
eclipse	i clíp
ecommerce	i com mơ
economy	i con nô mi
economist	i con nô mít
economistcho	i con nô mít cho
icardi	i các đi
economic	i cô nô mích
iker	i cơ
egypt	i cập
iga	i ga
ighalo	i ga lô
iglesias	i glê xi át
ignazio	i gna zi ô
igor	i go
eagle	i gờ
e-house	i hao
ihor	i ho
ikebana	i kê ba na
ilaria	i la ri a
ilia	i li a
illegal	i li gần
illinois	i li noi
ilyevsky	i li ép xki
ilimsk	i lim xcơ
ealing	i ling
ilardi	i lát đi
ilocos	i lô cốt
electricity	i lếch tri xi ti
electric	i lếch trích
ima	i ma
imabari	i ma ba ri
imagine	i ma gin
imanol	i ma nôn
email	i meo
imee	i mi
image	i mích
emoji	i mô gi
imojev	i mô giếp
emotional	i mô xần nồ
imoinu	i môi nu
emerging	i mơ gi nhinh
emergent	i mơ giần
images	i mếch giơ
ina	i na
inaki	i na ki
inigo	i ni gô
iniesta	i ni ết xta
inu	i nu
ignomiriello	i nô mi ri ên lô
inoue	i nô u ê
ines	i nết
inox	i nốc
iwo	i o
AEON	i on
ipanema	i pa nê ma
ifeoma	i phê ô ma
ifo	i phô
ifl	i phờ lờ
ifpri	i phờ pri
epiphany	i pi pha ni
iquan	i quân
equality	i quân li ti
equalizer	i quô lai zơ
equalism	i quô li zầm
irako	i ra cô
iranian	i ra ni ần
iraola	i ra ô la
iran	i ran
iridium	i ri đi um
iraq	i rắc
ishaan	i san
ishii	i si
ishikawa	i si ca oa
itlay	i ta li
italygia	i ta li a gia
italo	i ta lô
itaty	i ta ti
ithaca	i tha ca
israel	i tra en
itay	i tây
itaewon	i tê oăn
ivana	i va na
ivanisevic	i va ni xê vích
ivanovets	i va nô vét
ivanov	i va nốp
ivan	i van
events	i ven
ivivu	i vi vu
event	i vên
ivo	i vô
evening	i vơ ninh
izvestia	i vết ti a
isabel	i xa ben
isango	i xan gô
iselwlad	i xen u lát
issiaka	i xi a ca
ishiguro	i xi gu rô
EC Van	i xi van
isistius	i xi xti út
istanbul	i xtan bun
issoufou	i xu phu
isuzu	i xu zu
issyk	i xích
isogo	i xô gô
isofix	i xô phích
isoflavone	i xô phờ la vôn
isotretinoin	i xô trê ti nô in
isak	i xắc
easy	i zi
easyshare	i zi se
izumi	i zu mi
izutsu	i zút xu
izmail	i zơ mai
iain	i ên
ionian	i ô ni ần
idrisi	i đri xi
idriss	i đrít
idrissa	i đrít xa
idecaf	i đê cáp
idemitsu	i đê mít xu
iod	i ốt
earbuds	ia bớt
yakov	ia cốp
jaroslaw	ia rô xláp
imhotep	im hô tếp
immanuel	im ma nu ên
immigration	im mi grê xần
immunity	im miu ni ti
immunoglobulin	im mu nô glô bu lin
immutabilis	im mu ta bi lít
immortality	im mô ta li ti
immortal	im mô tần
immersion	im mơ zhần
impenetrable	im pen nê tra bờ
imphal	im phan
imperial	im pi ri ần
impotent	im pô tần
impulse	im păn
impact	im pắc
impossible	im pốt xi bờ
improving	im pờ ru vinh
imran	im ran
inbar	in ba
inbound	in baun
ilbo	in bô
inca	in ca
ilkay	in cay
incheon	in chơn
incilius	in ci li út
incirlik	in cia lích
inclusion	in clu xần
increased	in crít
income	in cơm
inflation	in fờ lây sần
ingame	in ghêm
ingenuity	in giê nu i ti
ingress	in grét
ingo	in gô
inha	in ha
inho	in hô
in-ear	in ia
illicit	in li xít
illustrator	in lút trê tơ
illustrated	in lút trê tịt
illustration	in lút trê xần
inland	in lần
innova	in nô va
innovator	in nô vê tơ
innovation	in nô vê xần
innerspace	in nơ xpê xơ
infanrix	in phan rích
infina	in phi na
infineon	in phi ni on
infinitum	in phi ni tầm
infinite	in phi nít
inflight	in phlait
inflow	in phlô
inflowingra	in phlô u inh ra
inflection	in phlếch xần
informal	in pho mần
infrastructures	in phra xtrắc chờ
info	in phô
infotainment	in phô tên mần
infosys	in phô xít
infozahyst	in phô za hít
influvac	in phờ lu vắc
influencer	in phờ lu ên xơ
in-person	in pơ xần
inquiry-based	in quai ri bê xờ
ilroy	in roi
insurance	in su rần
insurances	in su rần xê
intanon	in ta nôn
intel	in ten
intensity	in ten xi ti
intrinsic	in trín xích
interesting	in trết tinh
into	in tu
intuitive	in tu i típ
intuit	in tu ít
integrated	in tê grê tịt
intelli	in tê li
intelligence	in tê li giần
intelligent	in tê li gân
inter	in tơ
interconnect	in tơ con néct
intercontinental	in tơ con ti nên tần
interleukin	in tơ lêu kin
intermediate	in tơ mi đi ết
intermarche	in tơ mác chê
international	in tơ na sơ nồ
internationnal	in tơ na xi ô nần
internal	in tơ nần
interferon	in tơ phê rôn
interfax	in tơ phắc
interflour	in tơ phờ lao
interpoltruy	in tơ pôn truy
interrail	in tơ rêu
interview	in tơ viu
interscope	in tơ xcốp
interstellar	in tơ xten la
intersex	in tơ xếch
intosh	in tốt
invitational	in vi tê xần nồ
invest	in vét
investopedia	in vét tô pi đa
investor	in vét tơ
investec	in vét tếch
inversiones	in vê xi ô nết
invasion	in vê zhần
involved	in vôn
inverter	in vơ tơ
investigates	in vết ti ghê
investigative	in vết ti ghê típ
investigation	in vết ti ghê xần
ilsa	in xa
insider	in xai đơ
insidercho	in xai đơ cho
insiderthu	in xai đơ thừa
ilsan	in xan
incentive	in xen típ
insidious	in xi đi ớt
insidiousra	in xi đi ớt ra
inspiration	in xpi rê xần
instagram	in xta gram
instyle	in xtai
institute	in xti tiu
instruments	in xtru mần
instructor	in xtrắc tơ
instructions	in xtrắc xần
instant	in xtần
insull	in xun
inception	in xép xần
inyeob	in yớp
inzaghi	in za ghi
indirect	in đai rét
india	in đi a
indiana	in đi a na
indianapolis	in đi a na pô lít
indiatoday	in đi a tu đây
indica	in đi ca
indicator	in đi kê tơ
independent	in đi pen đần
indira	in đi ra
indian	in đi ần
indra	in đra
indur	in đua
ile-de	in đê
independiente	in đê pen đi ên tê
indo	in đô
indochina	in đô chi na
indochine	in đô chin
induk	in đúc
index	in đếch
indexnhanh	in đếch nhanh
industrycho	in đớt tri cho
english	ing lích
england	ing lần
uk	iu kê
USB	iu ét bi
usa	iu ét xê
Jollibee	jollibee
kaiko	kai cô
kerry	ke ri
kerricher	ke ri chờ
kerro	ke rô
kevin	ke vin
keangnam	keang nam
kembla	kem bla
kemboi	kem boi
kembol	kem bôn
kemmel	kem mần
kenjiro	ken gi rô
kelleher	ken lơ hơ
kellen	ken lần
kellogg	ken lốc
kennison	ken ni xơn
kenneth	ken nét
kennedy	ken nê đi
kenworthy	ken oơ thi
kentut	ken tút
kentucky	ken tắc ki
kelvin	ken vin
kelsea	ken xi
kensington	ken xing tần
kenzie	ken zi
kendler	ken đlơ
kendra	ken đra
kendrick	ken đrích
kendall	ken đần
keylor	key lo
KFC	kfc
khabib	kha bíp
khachatur	kha cha tua
khaju	kha giu
khajohnpongkirat	kha giôn pông ki rát
khalifa	kha li pha
khaleejtimes	kha li tai mơ
khalid	kha lít
khaleej	kha lết
khamis	kha mít
khanun	kha nun
kharaibam	kha rai bam
khatun	kha tun
khadija	kha đi gia
khaimah	khai ma
khaisah	khai xa
kaiseki	khai xê ki
khaotrong	khao trong
khiamah	khi a ma
khiba	khi ba
khigia	khi gia
khily	khi li
khira	khi ra
khithua	khi thừa
khivay	khi vậy
khixung	khi xung
kuaishou	khoái thủ
crisis	khrai sịt
khuang	khu ang
khuraijam	khu rai gam
khuik	khu ích
khumsonbi	khum xôn bi
khulna	khun na
kharkov	khác cốp
gyeongju	khánh châu
kyung-hoon	khánh huân
khartoum	khát tum
kherson	khéc xơn
khelaifi	khê lai phi
kheow	khê u
khiquan	khí quản
kholosa	khô lô xa
khodakovsky	khô đa cốp xki
khusnullin	khút nu lin
khamthongphanow	khăm thông pha nau
khmer	khơ me
khmum	khơ mum
kehang	khả hàng
kaiyuan	khải hoàn
kaikai	khải khải
kuqa	khố xa
khosla	khốt la
khlapova	khờ la pô va
ckler	khờ lơ
khrenin	khờ rê nin
kia	ki a
kilburn	ki bơn
kika	ki ca
keychain	ki chên
ki-cheol	ki chơn
kiko	ki cô
kirkenes	ki cơ nết
kirghiz	ki ghi zơ
kehoe	ki hô
quixote	ki hô tê
kiken	ki ken
kiki	ki ki
kiliia	ki li a
kilimanjaro	ki li man gia rô
kiliya	ki li ya
kylian	ki li ên
killeen	ki lin
kilomet	ki lô mét
kilowatt	ki lô oát
kiloton	ki lô tần
kilovolt	ki lô vôn
keele	ki lơ
kimura	ki mu ra
kimono	ki mô nô
kinabalu	ki na ba lu
kinect	ki néc
keynes	ki nê
keon	ki on
kiper	ki pơ
kiran	ki ran
kiri	ki ri
kyriakos	ki ri a cốt
kirigaya	ki ri ga ya
kyrgyzstan	ki ri gi xtan
kiriyenko	ki ri ên cô
kiruna	ki ru na
kiryu	ki ryu
kirovohrad	ki rô vô grát
kirovsky	ki rốp xki
kitanai	ki ta nai
kitano	ki ta nô
kitisak	ki ti xắc
keytruda	ki tru đa
kito	ki tô
keaton	ki tần
kiwi	ki ui
kiwior	ki vi o
kivu	ki vu
kishida	ki xi đa
kishia	ki xia
keystone	ki xtôn
kiso	ki xô
kiyoshi	ki yô xi
kiat	ki át
kiatphaibool	ki át phai bun
kiatisuk	ki át ti xắc
kievsky	ki ép xki
kiotari	ki ô ta ri
